@relation 'dataset_hw_3'

@attribute condition {'1-Control', '2-Buttony-Conversion-Buttons'}
@attribute user_id String
@attribute geo_country String
@attribute device_type {'Computer', 'Tablet', 'Mobile'}
@attribute refr_source String
@attribute view_depth numeric
@attribute view_height numeric
@attribute browser_language String
@attribute click_count numeric
@attribute view_count numeric
@attribute pageview_count numeric
@attribute pageping_count numeric
@attribute session_count numeric

@data
1-Control,0264ccb0-fe83-41ba-9091-2858af351632,NG,Mobile,,360,615,en,0,0,39,152,2
1-Control,02657070-abfd-4b9c-88ea-67c4b38063da,CM,Mobile,Google,320,508,en,0,0,7,37,1
1-Control,0287012c-7de8-4772-93f0-c8e3ee579e8a,BG,Mobile,Google,568,320,en,0,0,0,0,1
1-Control,028e4483-5003-47af-8bab-27df51f97aca,MX,Mobile,Google,375,559,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,029446ff-cfc0-4573-b487-e0fa38a4fd54,ID,Mobile,,360,615,en,0,0,0,0,1
1-Control,029680a2-a7d8-4343-a608-4deacb426ef4,NG,Mobile,Google,320,499,en,0,0,8,13,1
1-Control,029f8ecc-6e8e-46f7-b625-fc90235c0b49,DE,Mobile,Google,375,628,en,0,0,0,0,1
1-Control,02a21baf-ba7e-4fc0-9543-b3ba7ef27609,FI,Mobile,,736,696,en,0,0,16,19,1
1-Control,02a5eaee-ea8d-452e-93ff-45d8927ef221,VN,Mobile,,360,567,vi,0,0,2,6,1
1-Control,02af384d-6909-407c-a527-604bea64388d,RO,Mobile,Google,320,441,en,0,0,1,5,1
2-Buttony-Conversion-Buttons,02b73721-128b-4a25-acc5-34c9d5aa4dae,TN,Mobile,,360,616,en,0,0,6,5,1
1-Control,02bb6864-d847-47db-892d-e7950870d9c0,DE,Mobile,Google,360,560,en,0,0,0,0,1
1-Control,02c69c99-699b-42a4-881c-1d35645b6f6b,NL,Mobile,,300,392,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,02c744b0-22c0-42ef-a825-385da0a32ef5,BG,Mobile,Google,320,532,bg,0,0,0,0,1
1-Control,02cca032-cdc2-4e41-87d6-9edf4c7c6706,GR,Mobile,Google,640,615,el,0,0,17,19,1
2-Buttony-Conversion-Buttons,02cca694-a0d4-4db0-aa77-56d22218a1eb,US,Mobile,Google,568,568,en,0,0,11,5,1
2-Buttony-Conversion-Buttons,02d4e9e2-5f07-434b-b69c-7b6ede445fac,US,Mobile,Google,360,616,en,0,0,3,3,1
1-Control,02da595c-e668-40fa-b242-a73c09ce900e,GH,Mobile,Google,320,395,en,0,0,3,22,1
2-Buttony-Conversion-Buttons,02de75be-7aca-4517-9bb3-f7747ea66e4c,FR,Tablet,,1024,744,fr,0,0,6,8,1
2-Buttony-Conversion-Buttons,02e5c963-6244-40db-94af-5b538c232cae,NG,Mobile,,320,464,en,0,0,12,30,1
1-Control,02e7e652-3620-4133-8a3b-5737e5ee4fd9,IN,Mobile,Google,360,520,en,0,0,1,3,1
1-Control,02ee4b6c-64f2-4412-b71e-e6bbc63f94c9,ZW,Mobile,,320,5793,en,0,0,17,8,1
2-Buttony-Conversion-Buttons,02fa306b-59d8-4a9b-98ff-cce45fe7298a,UZ,Mobile,,360,567,ru,0,0,3,2,1
2-Buttony-Conversion-Buttons,030ffa2d-2a45-4326-aef4-3516dd7133ff,RO,Mobile,,360,580,ro,0,0,3,7,1
2-Buttony-Conversion-Buttons,03103a95-23cb-4e5f-b253-69fa7f7cd150,CO,Tablet,Google,962,577,es,0,0,13,43,1
2-Buttony-Conversion-Buttons,03156b24-3f66-49d5-a849-4aaede9126b0,PK,Mobile,Google,300,372,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,0316d045-3eec-455c-92a1-ba1c5126a693,PK,Mobile,,360,560,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,032c07ab-57ee-44dd-8606-b86022f4fbca,ET,Mobile,,375,540,en,0,0,0,0,1
1-Control,033b62a3-c151-48a7-9e1a-6fc1723e0871,MY,Mobile,Google,360,567,en,0,0,2,1,1
1-Control,033ee2f1-3c37-4949-b739-069b38c6289f,DE,Mobile,,360,560,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,034b1153-4f64-486f-8a8c-1a6eb889950f,IN,Mobile,,412,708,en,0,0,11,10,1
2-Buttony-Conversion-Buttons,034c4080-e547-4a3e-b9f9-2ebabb625a98,UG,Mobile,,346,332,en,0,0,15,38,1
1-Control,034ffb97-5199-4519-84fd-3b780293f661,RW,Mobile,,320,7298,en,0,0,7,4,1
1-Control,03588154-eb93-442f-be66-47daa517feae,GB,Mobile,,568,320,en,0,0,3,8,1
2-Buttony-Conversion-Buttons,0367da1c-9c0b-4fb8-a4ff-09da3339779b,MU,Mobile,,360,568,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,037cb0b3-3deb-424b-a3e1-b8ef323c5c78,GB,Tablet,Google,800,1193,en,0,0,4,1,1
1-Control,03867b94-9c78-4fe2-8624-9953535c60d4,PH,Mobile,,375,559,en,0,0,1,1,2
1-Control,0391ed2e-6df6-421b-97c4-bb694c658fc3,IN,Mobile,Google,640,568,en,0,0,20,43,1
2-Buttony-Conversion-Buttons,0392a890-8057-4cfb-8cf9-11cdd06f26ff,CN,Mobile,,375,627,C,0,0,0,0,1
1-Control,03948606-d2d5-4980-86dd-3113e186abeb,US,Mobile,Google,360,616,en,0,0,0,0,1
1-Control,039753c0-70fd-4906-858a-80bf0896f6e0,SA,Mobile,,320,460,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,039be855-223f-4acc-8685-248ff18b94fa,GR,Mobile,,320,510,el,0,0,1,3,1
1-Control,039e9c87-35b1-411c-8cca-eac56c1e6741,GM,Mobile,Google,291,332,en,0,0,0,0,1
1-Control,039fa165-4e99-4c44-98bc-38d49ea59e4b,PK,Mobile,Google,320,569,en,0,0,4,1,1
1-Control,03a900dc-b35c-47a3-ba28-dd04d73dad40,BD,Mobile,,320,452,en,0,0,28,17,1
1-Control,03af59ca-fb4f-4fda-ad44-e6f8bfc13151,PL,Mobile,,320,500,pl,0,0,0,0,1
2-Buttony-Conversion-Buttons,03b8a76e-66ec-4bbe-b4bd-78166a2f6dfe,PH,Mobile,Google,360,615,en,0,0,2,3,1
2-Buttony-Conversion-Buttons,03b8b093-7405-48f2-a67c-50e8beb99013,NG,Mobile,Google,291,332,en,0,0,0,0,1
1-Control,03c12861-e1bd-4df4-ada6-2d269e7881a5,IN,Mobile,Google,360,615,en,0,0,1,2,1
2-Buttony-Conversion-Buttons,03c3e434-347b-49bc-b3f9-31dc82d7f775,OM,Mobile,,360,567,en,0,0,53,92,2
2-Buttony-Conversion-Buttons,03cbaec3-9bd8-4e17-b01e-4758b81953c3,  ,Mobile,,568,529,en,0,0,21,99,1
1-Control,03d03d7b-4dc8-4766-87d7-31b473ef89e6,IN,Mobile,Google,320,544,en,0,0,7,16,1
2-Buttony-Conversion-Buttons,03d651a3-de35-49c2-98d4-53b2112e4fd7,IN,Mobile,,412,660,en,0,0,5,3,1
1-Control,03ed9aa1-b815-470d-80e3-dbdc41f7372e,BE,Mobile,Google,360,616,en,0,0,2,3,2
2-Buttony-Conversion-Buttons,03eecc1c-3670-4917-a8e6-c87a8c0b8076,TR,Mobile,,375,559,en,0,0,0,0,1
1-Control,03f2a8cf-dfab-4074-893a-bc2023f0511b,KE,Mobile,Google,300,395,en,0,0,0,0,1
1-Control,03f826c3-257e-4bec-a456-ff8a17166216,GB,Mobile,Google,375,628,en,0,0,2,7,1
2-Buttony-Conversion-Buttons,03fb8ba6-26ff-4e2d-a405-860debd40a0f,ID,Tablet,,601,891,en,0,0,4,3,1
1-Control,03fbb76d-590f-4f20-a031-51c58451421f,CH,Mobile,Google,360,580,it,0,0,11,1,1
2-Buttony-Conversion-Buttons,03febfa8-bf28-4625-b11c-145206b06b94,GR,Mobile,Google,360,580,pl,0,0,3,2,1
2-Buttony-Conversion-Buttons,0402f946-5490-408c-bb4b-78c635d8bd57,NG,Mobile,Google,343,488,en,0,0,0,0,1
1-Control,04134cbf-8517-4488-b6c8-a22e94e5ee41,EG,Mobile,,360,615,en,0,0,12,6,1
2-Buttony-Conversion-Buttons,0417d06e-15b9-4956-b845-abe796d2584d,RO,Mobile,,504,462,ro,0,0,2,8,1
2-Buttony-Conversion-Buttons,043201fc-0901-40a3-9bca-82caaa23c554,ES,Mobile,Google,360,560,es,0,0,1,1,1
2-Buttony-Conversion-Buttons,0437aa2a-97f3-4bfc-a4bb-0a71ebd9e871,SZ,Mobile,Google,229,239,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,045ebd27-6e3d-4cae-845d-8f9b0c5729d9,RU,Mobile,,375,628,en,0,0,5,11,1
2-Buttony-Conversion-Buttons,046a45d1-8a13-4873-aa85-37f9c95f4e00,GB,Mobile,,360,567,en,0,0,12,14,1
1-Control,0476f5c5-53b4-4bfd-a522-ffcbdf5786a7,US,Mobile,Google,320,529,en,0,0,5,22,2
1-Control,0496728c-cd8f-4123-abb1-362b1747b54e,US,Mobile,,320,529,en,0,0,4,2,1
1-Control,04a58371-c768-4c24-aef6-2e7717b9b234,TR,Mobile,Google,568,529,tr,0,0,4,1,1
2-Buttony-Conversion-Buttons,04b2ac78-99e6-4225-8abd-cecf8c23663f,GB,Mobile,Google,320,548,en,0,0,1,3,1
1-Control,04b7a404-d7db-4e2d-8be5-1bb126f44a94,RU,Mobile,Google,360,477,ru,0,0,0,0,1
2-Buttony-Conversion-Buttons,04bdca31-2de1-4df4-9906-b30bb72d0b68,KE,Mobile,Google,492,372,en,0,0,1,1,1
1-Control,04c1cb58-891a-49c2-9b58-f994c475c7d0,NA,Mobile,Google,414,696,de,0,0,2,1,1
1-Control,04c7a5ba-76a4-40e5-8c7e-23614aeec2a5,ZM,Mobile,Google,320,5709,en,0,0,2,1,1
1-Control,04ce2ea9-7846-42a4-8490-030a1e62fa30,DK,Mobile,,375,628,en,0,0,5,5,1
1-Control,04cef973-da42-4f72-97d2-dedba3db25e8,US,Unknown,,412,732,en,0,0,0,0,1
1-Control,04d3c49e-d951-45e6-89bb-1b4dcb6f624a,KE,Mobile,Google,300,392,en,0,0,0,0,1
1-Control,04eb77e3-34cb-4e4e-8f41-169b6564eb0b,PK,Mobile,,360,560,en,0,0,49,74,3
1-Control,04ebb543-b1f3-4f7f-9a25-77c5f184d89b,NP,Mobile,Google,360,555,en,0,0,1,7,1
2-Buttony-Conversion-Buttons,04f3eb78-f5a6-4733-9f6c-e06b359f0704,JP,Mobile,,375,628,ja,0,0,4,3,2
2-Buttony-Conversion-Buttons,04f5486b-17df-4554-8401-a6c6fc5d4193,SK,Mobile,,320,508,en,0,0,4,3,1
2-Buttony-Conversion-Buttons,04f7684e-be3c-4280-8efa-8bfb5eb46eaf,US,Mobile,,375,628,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,04ff4f9a-937b-459a-bd8f-a7b1662c1b1e,US,Mobile,Google,375,628,nl,0,0,1,4,1
2-Buttony-Conversion-Buttons,0508f61a-3eae-4273-a484-b27035d96400,PK,Mobile,Google,360,615,en,0,0,4,4,2
2-Buttony-Conversion-Buttons,050ce497-972a-4890-8450-560fa17c3bc9,PK,Mobile,Facebook,360,528,en,0,0,9,6,1
2-Buttony-Conversion-Buttons,050f5bfa-bb29-46b1-86a1-25691300f0e8,FR,Mobile,Google,375,628,en,0,0,3,16,1
1-Control,051df7d1-50e0-4f25-9a83-99d1f498038e,KW,Mobile,Google,375,647,en,0,0,4,16,1
1-Control,0536d3c7-8401-42ed-b161-80704f20a626,CZ,Mobile,Google,320,460,tr,0,0,0,0,1
2-Buttony-Conversion-Buttons,053a6363-7c28-4a74-aacc-211fb50cc0f0,KE,Mobile,Google,360,571,en,0,0,1,3,1
1-Control,053ec74f-6582-4a89-a3b2-7a58c288a70b,EG,Mobile,Google,360,615,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,05416f7c-3f9b-4df6-82d9-4489215cdf6e,AE,Mobile,Google,360,615,en,0,0,2,2,1
2-Buttony-Conversion-Buttons,0542f8bf-8921-4998-ac31-6475a5c5e37b,TR,Mobile,,667,628,en,0,0,7,3,1
1-Control,054e8a0c-4544-416a-8270-f3eddebd20b1,PK,Mobile,Google,360,559,en,0,0,1,1,1
1-Control,055abcc2-0671-4e87-860a-b562aafdf3b7,IL,Mobile,,320,529,en,0,0,1,1,1
1-Control,055bbeac-3f4d-4aaf-9777-aa66ab569f0c,US,Mobile,,360,615,en,0,0,12,31,1
1-Control,056177da-ccdc-466e-ad30-b2e08b60d8f1,NG,Mobile,,480,562,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,05669b84-a139-4aae-aea0-2392b71958d5,MK,Mobile,,320,455,mk,0,0,4,11,1
1-Control,056907d4-4a3f-4eb6-b2f3-0179d07afb45,NG,Mobile,,375,544,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,056c801e-c5c8-413b-99b6-b5ff07d5b371,IN,Mobile,Google,360,568,en,0,0,1,2,1
2-Buttony-Conversion-Buttons,05707b59-526f-4fa8-af63-5466a79a80c5,CH,Mobile,,375,628,en,0,0,14,36,1
2-Buttony-Conversion-Buttons,05730f63-eadc-421b-8e9e-8417d92a282b,RO,Mobile,Google,360,567,en,0,0,0,0,1
1-Control,05738839-e930-4d44-bdfa-042c67cb4be8,US,Unknown,,412,732,en,0,0,0,0,1
1-Control,0576b945-200d-4b4e-8ded-d0ac0cabd76b,IN,Mobile,Google,360,615,en,0,0,4,2,1
2-Buttony-Conversion-Buttons,057ba2c2-dc0d-4872-b4b2-d9a35ccf11bd,IN,Mobile,Google,360,616,en,0,0,9,24,1
2-Buttony-Conversion-Buttons,057c4c9e-9d77-422b-894d-692dffbfef10,IN,Mobile,Google,375,647,en,0,0,41,46,1
2-Buttony-Conversion-Buttons,057cd18e-1a18-41a5-bbf1-fd890748a53c,GH,Mobile,Google,640,592,en,0,0,30,80,3
1-Control,058179c3-cd87-4018-9c01-77ae307643f2,KR,Mobile,Google,360,615,en,0,0,1,2,1
1-Control,0588b692-aa7e-4a07-9e0a-40309f92e555,TN,Mobile,,383,615,en,0,0,3,2,1
1-Control,0589fb19-a719-4dd1-b4ff-83a6e0a729cd,IN,Mobile,Google,360,568,en,0,0,3,8,1
2-Buttony-Conversion-Buttons,05938850-e7b4-441b-b4bc-e93913692538,NP,Mobile,Google,360,567,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,059da482-f23b-4fc8-9530-aa6b76ec50cb,PH,Mobile,Google,360,615,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,059e9473-97c6-49bf-9593-41cd8f9cf844,GU,Mobile,Google,360,640,en,0,0,4,2,1
